Date,Q,COND,UKIH,Local,Fixed,Slide,LH,Chapman,CM,Boughton,Furey,Eckhardt,EWMA,Willems,Mean,Load_COND_min,Load_COND_max,Load_UKIH_min,Load_UKIH_max,Load_Local_min,Load_Local_max,Load_Fixed_min,Load_Fixed_max,Load_Slide_min,Load_Slide_max,Load_LH_min,Load_LH_max,Load_Chapman_min,Load_Chapman_max,Load_CM_min,Load_CM_max,Load_Boughton_min,Load_Boughton_max,Load_Furey_min,Load_Furey_max,Load_Eckhardt_min,Load_Eckhardt_max,Load_EWMA_min,Load_EWMA_max,Load_Willems_min,Load_Willems_max,Load_Mean_min,Load_Mean_max,Load_Q
2018-02-04,3.199803711,2.697062573,2.492191863,2.492191863,2.701427204,2.701427204,2.492191863,3.199803711,3.199803711,3.199803711,3.199803711,3.199803711,3.199803711,3.199803711,2.939837998,794.6193635,1118.292999,734.2595354,1091.699661,551.232965,1091.699661,805.241421,1078.323294,597.5124747,1110.999758,551.232965,1091.699661,1118.292999,1118.292999,1118.292999,1118.292999,1118.292999,1118.292999,1118.292999,1118.292999,1118.292999,1118.292999,1118.292999,1118.292999,1118.292999,1118.292999,797.5662895,1118.292999,1118.292999
2018-02-05,3.001585782,2.631220196,2.442853791,2.442853791,2.701427204,2.571169708,2.442853791,3.001585782,3.001585782,3.001585782,3.001585782,3.001585782,3.001585782,3.001585782,2.801021563,775.2206191,964.733683,719.7233554,964.733683,540.320173,964.733683,805.241421,964.733683,568.7016007,964.733683,540.320173,964.733683,964.733683,964.733683,964.733683,964.733683,964.733683,964.733683,964.733683,964.733683,964.733683,964.733683,964.733683,964.733683,964.733683,964.733683,759.905946,964.733683,964.733683
2018-02-06,2.8316847,2.61871487,2.404439079,2.404439079,2.701427204,2.474892428,2.404439079,2.8316847,2.8316847,2.8316847,2.8316847,2.8316847,2.8316847,2.8316847,2.684285814,771.5362498,844.0685754,708.4054592,844.0685754,531.8234533,844.0685754,805.241421,805.241421,547.4066068,844.0685754,531.8234533,844.0685754,844.0685754,844.0685754,844.0685754,844.0685754,844.0685754,844.0685754,844.0685754,844.0685754,844.0685754,844.0685754,844.0685754,844.0685754,844.0685754,844.0685754,728.2360042,844.0685754,844.0685754
2018-02-07,2.701427204,2.558993364,2.375078252,2.375078252,2.701427204,2.389941887,2.375078252,2.701427204,2.701427204,2.701427204,2.701427204,2.701427204,2.701427204,2.701427204,2.593882856,732.8863947,732.8863947,699.7550548,732.8863947,525.329308,732.8863947,732.8863947,732.8863947,528.6169063,732.8863947,525.329308,732.8863947,732.8863947,732.8863947,732.8863947,732.8863947,732.8863947,732.8863947,732.8863947,732.8863947,732.8863947,732.8863947,732.8863947,732.8863947,732.8863947,732.8863947,703.7100433,703.7100433,732.8863947
2018-02-08,2.571169708,2.476897064,2.571169708,2.353898235,2.330476508,2.330476508,2.353898235,2.571169708,2.571169708,2.571169708,2.571169708,2.571169708,2.571169708,2.571169708,2.494842262,729.7533206,729.7533206,757.528304,757.528304,520.6446272,757.528304,515.4641159,632.2489547,515.4641159,757.528304,520.6446272,757.528304,757.528304,757.528304,757.528304,757.528304,757.528304,757.528304,757.528304,757.528304,757.528304,757.528304,757.528304,757.528304,757.528304,757.528304,735.0404067,735.0404067,757.528304
2018-02-09,2.474892428,2.474892428,2.474892428,2.340184762,2.330476508,2.330476508,2.340184762,2.474892428,2.474892428,2.474892428,2.474892428,2.474892428,2.474892428,2.474892428,2.42837183,603.0025903,603.0025903,603.0025903,603.0025903,517.6114264,603.0025903,515.4641159,603.0025903,515.4641159,603.0025903,517.6114264,603.0025903,603.0025903,603.0025903,603.0025903,603.0025903,603.0025903,603.0025903,603.0025903,603.0025903,603.0025903,603.0025903,603.0025903,603.0025903,603.0025903,603.0025903,591.6679397,591.6679397,603.0025903
2018-02-10,2.389941887,2.382917839,2.389941887,2.33270646,2.330476508,2.330476508,2.33270646,2.389941887,2.389941887,2.389941887,2.389941887,2.389941887,2.389941887,2.389941887,2.370491753,527.0632993,527.0632993,528.6169063,528.6169063,515.9573456,515.9573456,515.4641159,515.4641159,515.4641159,515.4641159,515.9573456,515.9573456,528.6169063,528.6169063,528.6169063,528.6169063,528.6169063,528.6169063,528.6169063,528.6169063,528.6169063,528.6169063,528.6169063,528.6169063,528.6169063,528.6169063,524.3148478,524.3148478,528.6169063
2018-02-11,2.330476508,2.330476508,2.330476508,2.330476508,2.330476508,2.330476508,2.330476508,2.330476508,2.330476508,2.330476508,2.330476508,2.330476508,2.330476508,2.330476508,2.330476508,549.6941549,549.6941549,549.6941549,549.6941549,549.6941549,549.6941549,549.6941549,549.6941549,549.6941549,549.6941549,549.6941549,549.6941549,549.6941549,549.6941549,549.6941549,549.6941549,549.6941549,549.6941549,549.6941549,549.6941549,549.6941549,549.6941549,549.6941549,549.6941549,549.6941549,549.6941549,549.6941549,549.6941549,549.6941549
2018-02-12,2.537189491,2.537189491,2.537189491,2.537189491,2.330476508,2.330476508,2.338228245,2.279505968,2.282421319,2.279461226,2.276523123,2.279475111,2.331737457,2.277981017,2.340055455,666.4080429,666.4080429,666.4080429,666.4080429,666.4080429,666.4080429,549.6941549,666.4080429,549.6941549,666.4080429,361.6210274,551.5225726,537.6716317,666.4080429,538.3592812,666.4080429,537.6610782,555.3861687,536.9680622,554.670306,537.6643533,555.3895518,549.9915775,570.1377891,537.3119385,555.0255189,551.9535604,559.3668561,666.4080429
2018-02-13,3.907724886,3.907724886,3.907724886,3.907724886,2.330476508,2.330476508,2.404545416,2.248917173,2.26755247,2.245636713,2.226715504,2.245739668,2.341350981,2.236102743,2.557746954,746.1566206,746.1566206,746.1566206,746.1566206,746.1566206,746.1566206,549.6941549,746.1566206,549.6941549,746.1566206,371.8773758,567.1649363,530.4565915,670.357231,534.8521362,675.9120403,529.6828227,547.1448937,525.2198393,542.534779,529.7071069,547.1699786,552.2591385,572.4884109,527.4340261,544.821961,603.3008896,611.4038321,746.1566206
2018-02-14,33.41387946,21.88543099,4.744664695,11.6141548,2.330476508,2.330476508,3.623764672,2.573055124,2.921003273,2.545546469,2.193844678,2.547308936,2.530893404,2.368348774,3.526961487,4178.891735,6429.064208,905.9652556,1414.289652,2217.653174,5308.319136,549.6941549,1065.158271,549.6941549,1065.158271,560.4369492,854.7446208,606.9116582,766.9762714,688.982884,870.6926556,600.4231368,620.2173061,517.4665318,534.525868,600.8388533,620.6467276,596.966889,618.8338081,558.6271621,577.0434422,831.9114598,843.0848739,7053.803609
2018-02-15,145.2654251,6.259389322,5.549394091,14.70871423,20.89783309,2.537189491,10.05245624,4.499933906,6.07578897,4.095946013,2.489989862,4.105253695,3.401574048,3.286677377,6.808395918,1195.192835,1838.758207,1059.623505,1654.163391,2808.54073,6722.706091,4929.213687,9551.480001,598.4519596,1159.63768,1554.672673,2371.092959,1061.40841,1341.340299,1433.108496,1811.071176,966.118978,997.9690542,587.3188887,606.6810499,968.3143996,1000.236852,802.3360738,831.7256735,775.2351663,800.7923696,1605.909962,1627.47896,50580.2589
2018-02-16,45.59012367,8.700533832,6.354123487,17.80327366,20.89783309,3.907724886,16.4556051,6.477949029,6.832415417,4.469890506,4.018948094,4.481095093,3.6589242,4.241693239,8.299956317,1661.314732,2555.868818,1213.281755,1894.037129,3399.428286,8137.093046,4929.213687,9551.480001,921.7228843,1786.049105,2544.958063,3881.416487,1527.966793,1930.947047,1611.575489,2036.606387,1054.322013,1089.079882,947.9573249,979.2086653,1056.964862,1091.809857,863.037769,894.6508741,1000.496668,1033.480074,1957.727296,1984.021558,20837.23956
2018-02-17,20.89783309,7.243727421,7.158852883,20.89783309,20.89783309,20.89783309,17.7147331,6.942268151,6.996079257,4.552741116,4.38786786,4.564442944,3.764081545,4.468458675,10.27025207,1383.146289,2127.917367,1366.940005,2133.910867,9551.480001,9551.480001,9551.480001,9551.480001,9551.480001,9551.480001,2739.689762,4178.409526,1637.486673,2069.35129,1650.179206,2085.391305,1073.864153,1109.266268,1034.975168,1069.095228,1076.624286,1112.117395,887.8414421,920.3631066,1053.984285,1088.731019,2422.464895,2455.001054,9551.480001
2018-02-18,78.15449772,19.18278336,7.963582278,20.32866447,20.89783309,20.89783309,20.10059052,7.757973218,8.447904438,5.278130175,4.469751783,5.293357859,4.217863083,4.869597881,10.87692349,3662.837386,5635.13444,1520.598255,2373.784606,6059.568304,9291.338066,6229.226087,9551.480001,6229.226087,9551.480001,3108.676928,4741.166488,1829.888659,2312.496657,1992.624116,2518.151355,1244.963121,1286.005861,1054.289293,1089.046082,1248.554905,1289.716056,994.8758012,1031.318138,1148.601791,1186.467785,2565.561698,2600.019791,26824.49933
2018-02-19,118.9307574,0.349537928,8.768311674,19.75949584,20.89783309,20.89783309,22.27676829,9.65814687,10.75668728,6.438348461,5.185099759,6.459115685,4.917611739,5.8053082,11.81838,66.74217006,102.6802616,1674.256504,2613.658344,5889.91052,9031.196131,6229.226087,9551.480001,6229.226087,9551.480001,3445.235877,5254.465891,2278.086419,2878.900419,2537.201342,3206.353344,1518.626128,1568.690726,1223.01985,1263.339186,1523.524535,1573.750618,1159.926916,1202.415081,1369.309656,1414.451732,2787.624927,2825.065555,29354.01382
2018-02-20,48.42180837,9.396471759,9.57304107,19.19032722,20.89783309,20.89783309,21.80078625,11.13110898,11.36555445,6.764189664,6.329066948,6.786490669,5.182987338,6.542716665,12.20516129,1794.199904,2760.307544,1827.914754,2853.532082,5720.252736,8771.054196,6229.226087,9551.480001,6229.226087,9551.480001,3371.622398,5142.195054,2625.516938,3317.960966,2680.816058,3387.844469,1595.482945,1648.081283,1492.849679,1542.064504,1600.743127,1653.514879,1222.521589,1267.3026,1543.243665,1594.11983,2878.855803,2917.521754,16037.30293
2018-02-21,67.9604328,11.44170522,10.37777047,18.62115859,20.89783309,37.94457498,21.02602296,11.95338868,12.38897523,7.299129252,6.650300579,7.323935387,5.565929755,6.969825707,13.91823706,2184.724961,3361.115325,1981.573004,3093.40582,5550.594953,8510.912261,6229.226087,9551.480001,11310.51891,17342.79566,3251.800607,4959.450087,2819.469694,3563.066097,2922.212365,3692.905736,1721.660215,1778.418244,1568.619698,1620.332436,1727.511288,1784.462209,1312.846983,1360.936616,1643.986729,1698.184094,3282.922411,3327.015386,18241.66753
