 Huron                     SWAT+ Jun 13 2023       MODULAR Rev 2023.60.5.7                                
   jday   mon   day    yr   unit  gis_id  name                       flo          dep_wt            stor          rchrg           seep          revap         no3_st           minp           orgn           orgp       no3_rchg       no3_loss        no3_lat       no3_seep        flo_cha        flo_res         flo_ls
                                                                       mm              m              mm             mm             mm             mm        kg/ha_N        kg/ha_P        kg/ha_N        kg/ha_P        kg/ha_N        kg/ha_N        kg/ha_N        kg/ha_N             mm             mm             mm
    59     2    28  2018       6      60  aqu060                    0.020          6.918          0.000          0.030          0.010          0.000          0.004          0.000          0.500          0.000          0.006          0.003          0.000          0.000          0.020          0.000          0.000
    59     2    28  2018       7      70  aqu070                    0.019          6.918          0.000          0.027          0.008          0.000          0.004          0.000          0.500          0.000          0.007          0.003          0.000          0.000          0.019          0.000          0.000
    59     2    28  2018       8      80  aqu080                    0.086          6.918          0.000          0.102          0.016          0.000          0.012          0.000          0.500          0.000          0.010          0.008          0.000          0.000          0.086          0.000          0.000
    59     2    28  2018       9      90  aqu090                    0.055          6.918          0.000          0.072          0.017          0.000          0.007          0.000          0.500          0.000          0.012          0.005          0.000          0.000          0.055          0.000          0.000
    59     2    28  2018      10     100  aqu100                    0.075          6.918          0.000          0.089          0.013          0.000          0.011          0.000          0.500          0.000          0.012          0.007          0.000          0.000          0.075          0.000          0.000
    59     2    28  2018      11     110  aqu110                    0.048          6.918          0.000          0.058          0.010          0.000          0.007          0.000          0.500          0.000          0.006          0.005          0.000          0.000          0.048          0.000          0.000
    59     2    28  2018      12     120  aqu120                    0.036          6.918          0.000          0.052          0.017          0.000          0.009          0.000          0.500          0.000          0.012          0.006          0.000          0.000          0.036          0.000          0.000
    59     2    28  2018      13     130  aqu130                    0.045          6.918          0.000          0.064          0.018          0.000          0.009          0.000          0.500          0.000          0.013          0.006          0.000          0.000          0.045          0.000          0.000
    59     2    28  2018      14     140  aqu140                    0.084          6.918          0.000          0.100          0.016          0.000          0.012          0.000          0.500          0.000          0.010          0.008          0.000          0.000          0.084          0.000          0.000
    59     2    28  2018      15     150  aqu150                    0.016          6.918          0.000          0.022          0.006          0.000          0.003          0.000          0.500          0.000          0.004          0.002          0.000          0.000          0.016          0.000          0.000
    59     2    28  2018      16     160  aqu160                    0.042          6.918          0.000          0.051          0.010          0.000          0.007          0.000          0.500          0.000          0.009          0.004          0.000          0.000          0.042          0.000          0.000
    59     2    28  2018      17     170  aqu170                    0.070          6.918          0.000          0.088          0.017          0.000          0.010          0.000          0.500          0.000          0.011          0.007          0.000          0.000          0.070          0.000          0.000
    59     2    28  2018      18     180  aqu180                    0.148          6.918          0.000          0.180          0.032          0.000          0.013          0.000          0.500          0.000          0.013          0.009          0.000          0.000          0.148          0.000          0.000
    59     2    28  2018      19     190  aqu190                    0.130          6.918          0.000          0.159          0.029          0.000          0.012          0.000          0.500          0.000          0.013          0.008          0.000          0.000          0.130          0.000          0.000
    59     2    28  2018      20     200  aqu200                    0.040          6.918          0.000          0.050          0.010          0.000          0.007          0.000          0.500          0.000          0.009          0.004          0.000          0.000          0.040          0.000          0.000
    59     2    28  2018      21     210  aqu210                    0.102          6.918          0.000          0.125          0.023          0.000          0.009          0.000          0.500          0.000          0.011          0.006          0.000          0.000          0.102          0.000          0.000
    59     2    28  2018      22     220  aqu220                    0.106          6.918          0.000          0.129          0.023          0.000          0.010          0.000          0.500          0.000          0.011          0.007          0.000          0.000          0.106          0.000          0.000
    59     2    28  2018      23     230  aqu230                    0.069          6.918          0.000          0.084          0.014          0.000          0.010          0.000          0.500          0.000          0.011          0.006          0.000          0.000          0.069          0.000          0.000
    59     2    28  2018      24     240  aqu240                    0.090          6.918          0.000          0.107          0.017          0.000          0.011          0.000          0.500          0.000          0.012          0.007          0.000          0.000          0.090          0.000          0.000
    59     2    28  2018      25     250  aqu250                    0.096          6.918          0.000          0.125          0.029          0.000          0.010          0.000          0.500          0.000          0.013          0.006          0.000          0.000          0.096          0.000          0.000
    59     2    28  2018      26     260  aqu260                    0.088          6.918          0.000          0.119          0.031          0.000          0.008          0.000          0.500          0.000          0.018          0.005          0.000          0.000          0.088          0.000          0.000
    59     2    28  2018      27     270  aqu270                    0.094          6.918          0.000          0.124          0.030          0.000          0.010          0.000          0.500          0.000          0.014          0.006          0.000          0.000          0.094          0.000          0.000
    59     2    28  2018      28       2  aqu_deep002               0.012          6.918          0.000          0.019          0.007          0.000          0.000          0.000          0.500          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000
    90     3    31  2018       1      10  aqu010                    0.239          6.918          0.000          0.302          0.063          0.000          0.034          0.000          0.500          0.000          0.049          0.024          0.000          0.000          0.239          0.000          0.000
    90     3    31  2018       2      20  aqu020                    0.268          6.918          0.000          0.329          0.061          0.000          0.026          0.000          0.500          0.000          0.050          0.019          0.000          0.000          0.268          0.000          0.000
