 Huron                     SWAT+ Jun 13 2023       MODULAR Rev 2023.60.5.7                                
   jday   mon   day    yr   unit  gis_id  name                       flo          dep_wt            stor          rchrg           seep          revap         no3_st           minp           orgn           orgp       no3_rchg       no3_loss        no3_lat       no3_seep        flo_cha        flo_res         flo_ls
                                                                       mm              m              mm             mm             mm             mm        kg/ha_N        kg/ha_P        kg/ha_N        kg/ha_P        kg/ha_N        kg/ha_N        kg/ha_N        kg/ha_N             mm             mm             mm
    59     2    28  2018       6      60  aqu060                    0.000          3.330        333.510          0.354          0.018          0.396          0.298          0.000          0.500          0.000          0.196          0.194          0.000          0.000          0.000          0.000          0.000
    59     2    28  2018       7      70  aqu070                    0.000          3.314        334.283          0.436          0.022          0.421          0.325          0.000          0.500          0.000          0.129          0.212          0.000          0.000          0.000          0.000          0.000
    59     2    28  2018       8      80  aqu080                    0.000          3.303        334.826          0.271          0.014          0.363          0.531          0.000          0.500          0.000          0.237          0.346          0.000          0.000          0.000          0.000          0.000
    59     2    28  2018       9      90  aqu090                    0.000          3.300        334.960          0.666          0.033          0.396          0.738          0.000          0.500          0.000          0.399          0.481          0.000          0.000          0.000          0.000          0.000
    59     2    28  2018      10     100  aqu100                    0.000          3.312        334.387          0.472          0.024          0.414          0.579          0.000          0.500          0.000          0.262          0.377          0.000          0.000          0.000          0.000          0.000
    59     2    28  2018      11     110  aqu110                    0.000          3.283        335.850          0.371          0.019          0.363          0.781          0.000          0.500          0.000          0.412          0.509          0.000          0.000          0.000          0.000          0.000
    59     2    28  2018      12     120  aqu120                    3.378          2.970        351.374          2.385          0.119          0.363          4.472          0.000          0.500          0.000          1.309          2.917          0.045          0.002          3.378          0.000          0.000
    59     2    28  2018      13     130  aqu130                    0.000          3.090        345.477          1.384          0.069          0.363          2.403          0.000          0.500          0.000          0.647          1.567          0.000          0.001          0.000          0.000          0.000
    59     2    28  2018      14     140  aqu140                    0.000          3.292        335.378          0.496          0.025          0.363          1.062          0.000          0.500          0.000          0.617          0.692          0.000          0.000          0.000          0.000          0.000
    59     2    28  2018      15     150  aqu150                    0.000          3.140        342.969          1.878          0.094          0.421          1.279          0.000          0.500          0.000          0.494          0.834          0.000          0.000          0.000          0.000          0.000
    59     2    28  2018      16     160  aqu160                    0.000          3.230        338.505          1.018          0.051          0.421          1.314          0.000          0.500          0.000          0.549          0.857          0.000          0.000          0.000          0.000          0.000
    59     2    28  2018      17     170  aqu170                    0.000          3.312        334.399          0.690          0.034          0.421          0.684          0.000          0.500          0.000          0.399          0.446          0.000          0.000          0.000          0.000          0.000
    59     2    28  2018      18     180  aqu180                    0.000          3.317        334.138          0.511          0.026          0.396          1.601          0.000          0.500          0.000          0.820          1.044          0.000          0.000          0.000          0.000          0.000
    59     2    28  2018      19     190  aqu190                    0.000          3.310        334.461          0.689          0.034          0.396          0.647          0.000          0.500          0.000          0.423          0.422          0.000          0.000          0.000          0.000          0.000
    59     2    28  2018      20     200  aqu200                    0.000          3.292        335.407          0.256          0.013          0.375          0.128          0.000          0.500          0.000          0.071          0.084          0.000          0.000          0.000          0.000          0.000
    59     2    28  2018      21     210  aqu210                    0.000          3.299        335.016          0.788          0.039          0.364          1.309          0.000          0.500          0.000          0.761          0.853          0.000          0.000          0.000          0.000          0.000
    59     2    28  2018      22     220  aqu220                    0.000          3.299        335.054          0.932          0.047          0.372          0.591          0.000          0.500          0.000          0.415          0.385          0.000          0.000          0.000          0.000          0.000
    59     2    28  2018      23     230  aqu230                    0.000          3.285        335.733          0.351          0.018          0.375          0.193          0.000          0.500          0.000          0.135          0.126          0.000          0.000          0.000          0.000          0.000
    59     2    28  2018      24     240  aqu240                    0.000          3.330        333.496          0.279          0.014          0.414          0.215          0.000          0.500          0.000          0.159          0.140          0.000          0.000          0.000          0.000          0.000
    59     2    28  2018      25     250  aqu250                    0.000          3.290        335.480          0.829          0.041          0.325          0.687          0.000          0.500          0.000          0.470          0.448          0.000          0.000          0.000          0.000          0.000
    59     2    28  2018      26     260  aqu260                    0.000          3.238        338.062          1.418          0.071          0.356          0.834          0.000          0.500          0.000          0.610          0.544          0.000          0.000          0.000          0.000          0.000
    59     2    28  2018      27     270  aqu270                    0.000          3.248        337.567          1.106          0.055          0.325          0.905          0.000          0.500          0.000          0.595          0.590          0.000          0.000          0.000          0.000          0.000
    59     2    28  2018      28       2  aqu_deep002               0.000         19.993       2400.195          0.033          0.000          0.000          0.000          0.000          0.500          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000
    90     3    31  2018       1      10  aqu010                    0.000          3.085        345.692          2.994          0.150          0.935          0.711          0.000          0.500          0.000          0.597          0.513          0.000          0.000          0.000          0.000          0.000
    90     3    31  2018       2      20  aqu020                    0.000          3.229        338.501          1.508          0.075          0.935          0.399          0.000          0.500          0.000          0.616          0.288          0.000          0.000          0.000          0.000          0.000
    90     3    31  2018       3      30  aqu030                    0.000          3.338        333.063          0.370          0.019          0.923          0.284          0.000          0.500          0.000          0.214          0.205          0.000          0.000          0.000          0.000          0.000
